shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status,date,route,on_time,dispatch_date_dt,expected_delivery_date_dt,actual_delivery_date_dt,on_time_flag,delay_category,load_timestamp
SHP01842,ORD01842,Contact Lens,36,Plant_A,Bangalore_WH,SUP12,2026-04-18 18:00:00,2026-04-19 18:00:00,2026-04-20 18:00:00,4,Delivered,2026-04-18 18:00:00,South Route,0,2026-04-18,2026-04-19,2026-04-20,0,Major Delay,2026-04-10 12:15:58.138368
SHP01863,ORD01863,Reading Glasses,113,Plant_B,Delhi_WH,SUP2,2026-04-19 15:00:00,2026-04-20 15:00:00,2026-04-21 15:00:00,0,Delivered,2026-04-19 15:00:00,East Route,1,2026-04-19,2026-04-20,2026-04-21,1,On-Time,2026-04-10 12:15:58.138368
SHP01869,ORD01869,Contact Lens,183,Plant_A,Mumbai_WH,SUP9,2026-04-19 21:00:00,2026-04-20 21:00:00,2026-04-21 21:00:00,0,Delayed,2026-04-19 21:00:00,East Route,1,2026-04-19,2026-04-20,2026-04-21,1,On-Time,2026-04-10 12:15:58.138368
SHP01876,ORD01876,Reading Glasses,86,Plant_B,Delhi_WH,SUP4,2026-04-20 04:00:00,2026-04-21 04:00:00,2026-04-22 04:00:00,0,Delivered,2026-04-20 04:00:00,West Route,1,2026-04-20,2026-04-21,2026-04-22,1,On-Time,2026-04-10 12:15:58.138368
SHP01899,ORD01899,Reading Glasses,95,Plant_B,Delhi_WH,SUP7,2026-04-21 03:00:00,2026-04-22 03:00:00,2026-04-23 03:00:00,3,Delayed,2026-04-21 03:00:00,East Route,0,2026-04-21,2026-04-22,2026-04-23,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01905,ORD01905,Sunglasses,15,Plant_B,Mumbai_WH,SUP9,2026-04-21 09:00:00,2026-04-22 09:00:00,2026-04-23 09:00:00,5,Delivered,2026-04-21 09:00:00,North Route,0,2026-04-21,2026-04-22,2026-04-23,0,Major Delay,2026-04-10 12:15:58.138368
SHP01907,ORD01907,Prescription Lens,92,Plant_B,Delhi_WH,SUP10,2026-04-21 11:00:00,2026-04-22 11:00:00,2026-04-23 11:00:00,4,Delivered,2026-04-21 11:00:00,East Route,1,2026-04-21,2026-04-22,2026-04-23,0,Major Delay,2026-04-10 12:15:58.138368
SHP01940,ORD01940,Sunglasses,66,Plant_A,Delhi_WH,SUP15,2026-04-22 20:00:00,2026-04-23 20:00:00,2026-04-24 20:00:00,6,Delivered,2026-04-22 20:00:00,North Route,1,2026-04-22,2026-04-23,2026-04-24,0,Major Delay,2026-04-10 12:15:58.138368
SHP01951,ORD01951,Sunglasses,135,Plant_B,Bangalore_WH,SUP13,2026-04-23 07:00:00,2026-04-24 07:00:00,2026-04-25 07:00:00,3,Delivered,2026-04-23 07:00:00,South Route,0,2026-04-23,2026-04-24,2026-04-25,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01024,ORD01024,Sunglasses,180,Plant_A,Bangalore_WH,SUP14,2026-03-15 16:00:00,2026-03-16 16:00:00,2026-03-17 16:00:00,6,Delivered,2026-03-15 16:00:00,North Route,1,2026-03-15,2026-03-16,2026-03-17,0,Major Delay,2026-04-10 12:15:58.138368
SHP01032,ORD01032,Prescription Lens,104,Plant_A,Mumbai_WH,SUP20,2026-03-16 00:00:00,2026-03-17 00:00:00,2026-03-18 00:00:00,4,Delayed,2026-03-16 00:00:00,East Route,1,2026-03-16,2026-03-17,2026-03-18,0,Major Delay,2026-04-10 12:15:58.138368
SHP01049,ORD01049,Contact Lens,74,Plant_A,Mumbai_WH,SUP7,2026-03-16 17:00:00,2026-03-17 17:00:00,2026-03-18 17:00:00,3,Delivered,2026-03-16 17:00:00,West Route,1,2026-03-16,2026-03-17,2026-03-18,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01052,ORD01052,Prescription Lens,91,Plant_A,Delhi_WH,SUP10,2026-03-16 20:00:00,2026-03-17 20:00:00,2026-03-18 20:00:00,1,Delivered,2026-03-16 20:00:00,West Route,1,2026-03-16,2026-03-17,2026-03-18,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01063,ORD01063,Reading Glasses,74,Plant_B,Mumbai_WH,SUP10,2026-03-17 07:00:00,2026-03-18 07:00:00,2026-03-19 07:00:00,3,Delivered,2026-03-17 07:00:00,North Route,0,2026-03-17,2026-03-18,2026-03-19,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01077,ORD01077,Optical Frame,115,Plant_A,Delhi_WH,SUP17,2026-03-17 21:00:00,2026-03-18 21:00:00,2026-03-19 21:00:00,0,Delivered,2026-03-17 21:00:00,East Route,0,2026-03-17,2026-03-18,2026-03-19,1,On-Time,2026-04-10 12:15:58.138368
SHP01102,ORD01102,Optical Frame,48,Plant_B,Mumbai_WH,SUP9,2026-03-18 22:00:00,2026-03-19 22:00:00,2026-03-20 22:00:00,4,Delivered,2026-03-18 22:00:00,South Route,1,2026-03-18,2026-03-19,2026-03-20,0,Major Delay,2026-04-10 12:15:58.138368
SHP01133,ORD01133,Reading Glasses,180,Plant_B,Bangalore_WH,SUP18,2026-03-20 05:00:00,2026-03-21 05:00:00,2026-03-22 05:00:00,6,Delivered,2026-03-20 05:00:00,East Route,1,2026-03-20,2026-03-21,2026-03-22,0,Major Delay,2026-04-10 12:15:58.138368
SHP01144,ORD01144,Optical Frame,188,Plant_A,Mumbai_WH,SUP11,2026-03-20 16:00:00,2026-03-21 16:00:00,2026-03-22 16:00:00,0,Delivered,2026-03-20 16:00:00,North Route,1,2026-03-20,2026-03-21,2026-03-22,1,On-Time,2026-04-10 12:15:58.138368
SHP01176,ORD01176,Sunglasses,147,Plant_A,Bangalore_WH,SUP7,2026-03-22 00:00:00,2026-03-23 00:00:00,2026-03-24 00:00:00,3,Delivered,2026-03-22 00:00:00,West Route,1,2026-03-22,2026-03-23,2026-03-24,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01179,ORD01179,Sunglasses,57,Plant_B,Mumbai_WH,SUP17,2026-03-22 03:00:00,2026-03-23 03:00:00,2026-03-24 03:00:00,2,Delayed,2026-03-22 03:00:00,West Route,0,2026-03-22,2026-03-23,2026-03-24,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01230,ORD01230,Optical Frame,53,Plant_A,Delhi_WH,SUP14,2026-03-24 06:00:00,2026-03-25 06:00:00,2026-03-26 06:00:00,3,Delivered,2026-03-24 06:00:00,East Route,0,2026-03-24,2026-03-25,2026-03-26,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01233,ORD01233,Prescription Lens,147,Plant_A,Delhi_WH,SUP15,2026-03-24 09:00:00,2026-03-25 09:00:00,2026-03-26 09:00:00,2,Delayed,2026-03-24 09:00:00,East Route,1,2026-03-24,2026-03-25,2026-03-26,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01240,ORD01240,Sunglasses,12,Plant_B,Delhi_WH,SUP3,2026-03-24 16:00:00,2026-03-25 16:00:00,2026-03-26 16:00:00,0,Delivered,2026-03-24 16:00:00,South Route,1,2026-03-24,2026-03-25,2026-03-26,1,On-Time,2026-04-10 12:15:58.138368
SHP01256,ORD01256,Prescription Lens,97,Plant_A,Bangalore_WH,SUP9,2026-03-25 08:00:00,2026-03-26 08:00:00,2026-03-27 08:00:00,3,Delivered,2026-03-25 08:00:00,North Route,1,2026-03-25,2026-03-26,2026-03-27,0,Minor Delay,2026-04-10 12:15:58.138368
SHP01283,ORD01283,Prescription Lens,140,Plant_B,Delhi_WH,SUP7,2026-03-26 11:00:00,2026-03-27 11:00:00,2026-03-28 11:00:00,0,Delivered,2026-03-26 11:00:00,West Route,1,2026-03-26,2026-03-27,2026-03-28,1,On-Time,2026-04-10 12:15:58.138368
SHP01293,ORD01293,Contact Lens,187,Plant_A,Delhi_WH,SUP20,2026-03-26 21:00:00,2026-03-27 21:00:00,2026-03-28 21:00:00,4,Delivered,2026-03-26 21:00:00,East Route,1,2026-03-26,2026-03-27,2026-03-28,0,Major Delay,2026-04-10 12:15:58.138368
