production_id,date,plant_id,product_id,quantity_produced,machine_id,temperature,energy_consumption,downtime_minutes,line_id,shift,units_produced,efficiency
PROD00040,2026-03-02 16:00:00,Plant_A,Prescription Lens,141,Grinding_M1,41.52,212.29,40,Line_2,Day,131,0.87
PROD00041,2026-03-02 17:00:00,Plant_A,Prescription Lens,239,Grinding_M1,65.22,452.52,22,Line_1,Night,361,0.81
PROD00042,2026-03-02 18:00:00,Plant_A,Prescription Lens,491,Coating_M2,30.43,107.13,30,Line_2,Day,157,0.84
PROD00043,2026-03-02 19:00:00,Plant_B,Reading Glasses,361,Coating_M2,74.25,236.47,17,Line_2,Night,492,0.99
PROD00044,2026-03-02 20:00:00,Plant_A,Sunglasses,446,Coating_M2,53.44,252.56,12,Line_2,Night,327,0.91
PROD00045,2026-03-02 21:00:00,Plant_B,Reading Glasses,352,Assembly_M3,41.08,404.92,56,Line_1,Day,381,0.8
PROD00046,2026-03-02 22:00:00,Plant_B,Optical Frame,312,Grinding_M1,39.25,341.73,21,Line_2,Night,188,0.97
PROD00047,2026-03-02 23:00:00,Plant_B,Sunglasses,212,Grinding_M1,59.96,357.84,21,Line_1,Day,145,0.76
PROD00048,2026-03-03 00:00:00,Plant_A,Optical Frame,274,Assembly_M3,55.15,461.47,19,Line_1,Day,275,0.73
PROD00049,2026-03-03 01:00:00,Plant_A,Prescription Lens,377,Grinding_M1,74.41,405.67,25,Line_1,Night,236,0.74
PROD00050,2026-03-03 02:00:00,Plant_B,Contact Lens,400,Assembly_M3,29.15,332.93,2,Line_1,Night,118,0.99
PROD00051,2026-03-03 03:00:00,Plant_B,Optical Frame,112,Assembly_M3,64.14,361.3,8,Line_2,Day,117,0.73
PROD00052,2026-03-03 04:00:00,Plant_B,Prescription Lens,416,Coating_M2,34.36,206.64,14,Line_2,Day,423,0.78
PROD00053,2026-03-03 05:00:00,Plant_B,Optical Frame,293,Assembly_M3,23.73,145.98,20,Line_1,Night,394,0.76
PROD00054,2026-03-03 06:00:00,Plant_B,Prescription Lens,258,Coating_M2,75.83,321.69,31,Line_2,Day,437,0.72
PROD00055,2026-03-03 07:00:00,Plant_B,Sunglasses,257,Grinding_M1,43.49,372.68,41,Line_2,Night,185,0.91
PROD00056,2026-03-03 08:00:00,Plant_B,Optical Frame,222,Assembly_M3,72.8,133.54,21,Line_2,Night,154,0.8
PROD00057,2026-03-03 09:00:00,Plant_B,Contact Lens,220,Grinding_M1,63.46,259.36,31,Line_2,Night,177,0.85
PROD00058,2026-03-03 10:00:00,Plant_B,Contact Lens,435,Assembly_M3,47.22,496.43,55,Line_1,Night,492,0.99
PROD00059,2026-03-03 11:00:00,Plant_B,Sunglasses,245,Grinding_M1,48.52,238.04,5,Line_2,Day,235,0.77
PROD00060,2026-03-03 12:00:00,Plant_B,Reading Glasses,157,Coating_M2,71.47,144.99,19,Line_1,Night,227,0.94
PROD00061,2026-03-03 13:00:00,Plant_A,Optical Frame,241,Grinding_M1,63.84,372.6,25,Line_2,Night,306,0.8
PROD00062,2026-03-03 14:00:00,Plant_B,Optical Frame,114,Coating_M2,64.49,277.43,26,Line_2,Night,383,0.91
PROD00063,2026-03-03 15:00:00,Plant_A,Reading Glasses,151,Grinding_M1,62.43,410.38,30,Line_1,Day,331,0.87
PROD00064,2026-03-03 16:00:00,Plant_A,Contact Lens,187,Grinding_M1,32.33,124.59,13,Line_2,Night,217,0.95
PROD00065,2026-03-03 17:00:00,Plant_B,Optical Frame,241,Grinding_M1,29.18,250.85,40,Line_2,Night,243,1.0
PROD00066,2026-03-03 18:00:00,Plant_B,Optical Frame,149,Assembly_M3,44.06,277.34,59,Line_2,Night,382,0.83
PROD00067,2026-03-03 19:00:00,Plant_B,Sunglasses,438,Grinding_M1,76.0,380.24,7,Line_1,Day,346,0.98
PROD00068,2026-03-03 20:00:00,Plant_B,Reading Glasses,400,Grinding_M1,56.22,221.91,20,Line_1,Day,495,0.85
PROD00069,2026-03-03 21:00:00,Plant_B,Reading Glasses,289,Grinding_M1,21.01,439.76,21,Line_1,Night,393,0.74
PROD00070,2026-03-03 22:00:00,Plant_A,Prescription Lens,456,Grinding_M1,46.57,183.49,50,Line_2,Night,372,0.75
PROD00071,2026-03-03 23:00:00,Plant_B,Optical Frame,355,Coating_M2,37.86,159.09,50,Line_2,Day,219,0.85
PROD00072,2026-03-04 00:00:00,Plant_B,Sunglasses,181,Coating_M2,23.39,210.13,40,Line_1,Night,264,0.93
PROD00073,2026-03-04 01:00:00,Plant_A,Contact Lens,137,Assembly_M3,55.22,178.57,55,Line_2,Day,275,0.76
PROD00074,2026-03-04 02:00:00,Plant_A,Contact Lens,433,Grinding_M1,28.98,327.18,32,Line_2,Day,358,0.81
PROD00075,2026-03-04 03:00:00,Plant_B,Optical Frame,114,Assembly_M3,48.02,216.16,48,Line_2,Day,298,0.98
PROD00076,2026-03-04 04:00:00,Plant_B,Sunglasses,129,Coating_M2,39.16,491.12,8,Line_2,Night,391,0.74
PROD00077,2026-03-04 05:00:00,Plant_A,Prescription Lens,276,Coating_M2,50.38,390.11,43,Line_2,Day,414,0.93
PROD00078,2026-03-04 06:00:00,Plant_B,Prescription Lens,187,Assembly_M3,55.97,226.63,9,Line_1,Day,260,0.98
PROD00079,2026-03-04 07:00:00,Plant_A,Prescription Lens,376,Assembly_M3,54.33,140.62,55,Line_2,Night,331,0.77
PROD00080,2026-03-04 08:00:00,Plant_B,Reading Glasses,230,Grinding_M1,65.37,197.03,9,Line_2,Night,306,0.91
PROD00081,2026-03-04 09:00:00,Plant_A,Prescription Lens,127,Coating_M2,24.98,459.79,15,Line_2,Night,451,0.93
PROD00082,2026-03-04 10:00:00,Plant_B,Sunglasses,308,Coating_M2,41.03,104.39,36,Line_2,Night,181,0.76
PROD00083,2026-03-04 11:00:00,Plant_B,Sunglasses,230,Coating_M2,35.38,274.91,50,Line_2,Day,400,0.72
PROD00084,2026-03-04 12:00:00,Plant_B,Reading Glasses,101,Grinding_M1,26.06,211.21,48,Line_1,Night,257,0.98
PROD00085,2026-03-04 13:00:00,Plant_B,Prescription Lens,493,Coating_M2,74.37,357.99,51,Line_2,Night,151,0.77
PROD00086,2026-03-04 14:00:00,Plant_A,Reading Glasses,182,Coating_M2,51.92,162.61,23,Line_2,Day,121,0.94
PROD00087,2026-03-04 15:00:00,Plant_A,Contact Lens,245,Grinding_M1,60.53,455.17,53,Line_2,Day,425,0.75
PROD00088,2026-03-04 16:00:00,Plant_B,Reading Glasses,423,Coating_M2,54.53,130.21,53,Line_2,Night,252,0.94
PROD00089,2026-03-04 17:00:00,Plant_A,Prescription Lens,304,Grinding_M1,41.0,109.34,56,Line_2,Day,111,0.91
PROD00090,2026-03-04 18:00:00,Plant_B,Contact Lens,336,Coating_M2,20.62,351.15,54,Line_1,Night,233,0.89
PROD00091,2026-03-04 19:00:00,Plant_B,Contact Lens,456,Assembly_M3,54.87,147.77,51,Line_2,Night,357,0.75
PROD00092,2026-03-04 20:00:00,Plant_A,Prescription Lens,207,Coating_M2,66.83,325.29,59,Line_1,Night,197,0.79
PROD00093,2026-03-04 21:00:00,Plant_A,Prescription Lens,141,Assembly_M3,48.13,126.01,7,Line_2,Night,424,0.8
PROD00094,2026-03-04 22:00:00,Plant_A,Optical Frame,211,Coating_M2,22.25,258.43,55,Line_1,Night,355,0.85
PROD00095,2026-03-04 23:00:00,Plant_B,Sunglasses,337,Assembly_M3,35.29,283.04,36,Line_2,Night,129,0.87
PROD00096,2026-03-05 00:00:00,Plant_B,Sunglasses,405,Coating_M2,24.48,145.83,55,Line_1,Day,486,0.74
PROD00097,2026-03-05 01:00:00,Plant_A,Sunglasses,295,Grinding_M1,69.08,310.86,49,Line_2,Day,229,0.88
PROD00098,2026-03-05 02:00:00,Plant_A,Sunglasses,104,Coating_M2,68.6,477.29,10,Line_1,Night,133,0.92
PROD00099,2026-03-05 03:00:00,Plant_B,Optical Frame,455,Coating_M2,67.83,275.77,23,Line_1,Night,139,0.91
PROD00100,2026-03-05 04:00:00,Plant_B,Prescription Lens,172,Grinding_M1,79.13,430.62,26,Line_1,Night,326,0.83
PROD00101,2026-03-05 05:00:00,Plant_B,Reading Glasses,149,Coating_M2,47.87,452.65,24,Line_2,Night,140,0.92
PROD00102,2026-03-05 06:00:00,Plant_A,Contact Lens,167,Grinding_M1,50.62,242.93,42,Line_2,Night,209,0.84
PROD00103,2026-03-05 07:00:00,Plant_A,Sunglasses,317,Grinding_M1,30.93,347.06,1,Line_1,Day,243,0.78
PROD00104,2026-03-05 08:00:00,Plant_A,Optical Frame,416,Grinding_M1,35.23,432.6,36,Line_2,Day,400,0.95
PROD00105,2026-03-05 09:00:00,Plant_B,Sunglasses,394,Coating_M2,59.47,366.29,8,Line_2,Night,155,0.75
PROD00106,2026-03-05 10:00:00,Plant_B,Prescription Lens,108,Grinding_M1,61.4,169.32,14,Line_1,Night,157,0.87
PROD00107,2026-03-05 11:00:00,Plant_B,Prescription Lens,418,Coating_M2,46.41,480.56,26,Line_2,Night,446,0.99
PROD00108,2026-03-05 12:00:00,Plant_B,Prescription Lens,386,Grinding_M1,48.49,365.83,48,Line_1,Day,445,0.91
PROD00109,2026-03-05 13:00:00,Plant_A,Prescription Lens,158,Grinding_M1,40.85,420.59,4,Line_2,Day,407,0.74
PROD00110,2026-03-05 14:00:00,Plant_B,Reading Glasses,373,Grinding_M1,39.85,419.98,46,Line_1,Night,310,0.98
PROD00111,2026-03-05 15:00:00,Plant_A,Optical Frame,170,Assembly_M3,79.98,254.74,31,Line_2,Day,141,0.92
PROD00112,2026-03-05 16:00:00,Plant_A,Prescription Lens,161,Grinding_M1,76.07,117.06,53,Line_2,Night,362,0.93
PROD00113,2026-03-05 17:00:00,Plant_B,Contact Lens,139,Coating_M2,28.63,154.93,39,Line_1,Day,164,0.83
PROD00114,2026-03-05 18:00:00,Plant_A,Contact Lens,217,Grinding_M1,68.41,106.24,6,Line_1,Day,264,0.98
PROD00115,2026-03-05 19:00:00,Plant_A,Optical Frame,206,Coating_M2,31.17,305.85,44,Line_1,Day,383,0.85
PROD00116,2026-03-05 20:00:00,Plant_B,Contact Lens,385,Coating_M2,48.81,281.59,29,Line_1,Night,277,0.83
PROD00117,2026-03-05 21:00:00,Plant_B,Reading Glasses,174,Coating_M2,75.76,352.89,24,Line_2,Day,325,0.71
PROD00118,2026-03-05 22:00:00,Plant_B,Contact Lens,315,Grinding_M1,39.01,278.21,31,Line_2,Night,456,0.78
PROD00119,2026-03-05 23:00:00,Plant_B,Optical Frame,327,Coating_M2,29.03,404.3,11,Line_1,Day,105,0.71
PROD00120,2026-03-06 00:00:00,Plant_B,Contact Lens,275,Assembly_M3,55.5,237.43,23,Line_2,Day,153,0.78
PROD00121,2026-03-06 01:00:00,Plant_B,Reading Glasses,146,Coating_M2,78.1,197.96,43,Line_2,Night,479,0.98
PROD00122,2026-03-06 02:00:00,Plant_B,Prescription Lens,298,Grinding_M1,45.16,241.99,2,Line_1,Night,126,0.89
PROD00123,2026-03-06 03:00:00,Plant_A,Optical Frame,188,Assembly_M3,66.66,425.27,32,Line_2,Night,254,0.7
PROD00124,2026-03-06 04:00:00,Plant_A,Sunglasses,481,Coating_M2,55.37,135.72,45,Line_2,Night,160,0.71
PROD00125,2026-03-06 05:00:00,Plant_B,Sunglasses,435,Coating_M2,68.82,236.46,51,Line_2,Night,317,0.92
PROD00126,2026-03-06 06:00:00,Plant_B,Contact Lens,344,Assembly_M3,45.28,142.32,37,Line_2,Day,272,0.98
PROD00127,2026-03-06 07:00:00,Plant_B,Optical Frame,457,Coating_M2,68.92,132.57,25,Line_1,Night,200,0.91
PROD00128,2026-03-06 08:00:00,Plant_A,Reading Glasses,388,Coating_M2,35.35,229.77,30,Line_2,Day,356,0.85
PROD00129,2026-03-06 09:00:00,Plant_A,Prescription Lens,422,Coating_M2,20.91,170.61,33,Line_2,Day,357,0.79
PROD00130,2026-03-06 10:00:00,Plant_B,Contact Lens,452,Coating_M2,62.15,113.39,47,Line_2,Night,263,0.89
PROD00131,2026-03-06 11:00:00,Plant_B,Reading Glasses,320,Assembly_M3,47.71,374.92,22,Line_1,Night,276,0.91
PROD00132,2026-03-06 12:00:00,Plant_A,Optical Frame,121,Coating_M2,30.48,291.85,4,Line_2,Night,385,0.85
PROD00133,2026-03-06 13:00:00,Plant_B,Sunglasses,202,Coating_M2,24.36,312.25,45,Line_1,Day,201,0.78
PROD00134,2026-03-06 14:00:00,Plant_A,Optical Frame,338,Coating_M2,58.28,158.95,30,Line_1,Day,487,0.97
PROD00135,2026-03-06 15:00:00,Plant_B,Optical Frame,188,Assembly_M3,45.75,445.37,4,Line_1,Night,209,0.94
PROD00136,2026-03-06 16:00:00,Plant_B,Optical Frame,401,Grinding_M1,54.09,486.64,12,Line_1,Night,102,0.93
PROD00137,2026-03-06 17:00:00,Plant_A,Sunglasses,289,Grinding_M1,77.49,477.01,15,Line_2,Night,179,0.8
PROD00138,2026-03-06 18:00:00,Plant_B,Sunglasses,356,Coating_M2,66.19,336.74,0,Line_1,Night,484,0.71
PROD00139,2026-03-06 19:00:00,Plant_A,Contact Lens,335,Assembly_M3,39.56,473.63,17,Line_2,Day,497,0.93
PROD00140,2026-03-06 20:00:00,Plant_A,Sunglasses,121,Coating_M2,23.74,331.67,47,Line_1,Day,137,0.99
PROD00141,2026-03-06 21:00:00,Plant_B,Prescription Lens,105,Assembly_M3,79.39,321.53,16,Line_2,Day,189,0.72
PROD00142,2026-03-06 22:00:00,Plant_B,Contact Lens,381,Coating_M2,53.56,267.51,51,Line_2,Night,127,0.75
PROD00143,2026-03-06 23:00:00,Plant_A,Reading Glasses,306,Assembly_M3,39.73,115.8,31,Line_1,Day,133,0.79
PROD00144,2026-03-07 00:00:00,Plant_A,Contact Lens,222,Grinding_M1,53.58,369.02,57,Line_1,Night,142,0.82
PROD00145,2026-03-07 01:00:00,Plant_B,Sunglasses,430,Assembly_M3,62.26,429.79,34,Line_2,Night,461,0.79
PROD00146,2026-03-07 02:00:00,Plant_B,Sunglasses,423,Assembly_M3,56.05,276.73,34,Line_2,Night,192,0.88
PROD00147,2026-03-07 03:00:00,Plant_B,Contact Lens,285,Grinding_M1,45.19,242.86,5,Line_2,Night,218,0.88
PROD00148,2026-03-07 04:00:00,Plant_B,Optical Frame,390,Assembly_M3,50.26,125.72,52,Line_1,Night,449,0.82
PROD00149,2026-03-07 05:00:00,Plant_B,Sunglasses,406,Assembly_M3,74.76,318.72,56,Line_2,Night,248,0.96
PROD00150,2026-03-07 06:00:00,Plant_A,Optical Frame,199,Assembly_M3,28.85,129.95,36,Line_2,Night,499,0.89
PROD00151,2026-03-07 07:00:00,Plant_B,Reading Glasses,164,Coating_M2,55.14,294.71,12,Line_1,Day,174,0.71
PROD00152,2026-03-07 08:00:00,Plant_B,Sunglasses,459,Coating_M2,72.6,272.3,10,Line_2,Day,315,0.72
PROD00153,2026-03-07 09:00:00,Plant_A,Prescription Lens,165,Assembly_M3,27.28,264.37,56,Line_2,Day,149,0.97
PROD00154,2026-03-07 10:00:00,Plant_B,Sunglasses,249,Coating_M2,73.08,447.46,14,Line_2,Night,159,0.87
PROD00155,2026-03-07 11:00:00,Plant_B,Optical Frame,315,Grinding_M1,74.11,191.55,41,Line_2,Night,148,0.89
PROD00156,2026-03-07 12:00:00,Plant_A,Optical Frame,260,Grinding_M1,27.98,286.36,55,Line_1,Night,171,0.88
PROD00157,2026-03-07 13:00:00,Plant_B,Optical Frame,347,Grinding_M1,56.27,315.49,35,Line_1,Night,311,0.8
PROD00158,2026-03-07 14:00:00,Plant_A,Reading Glasses,390,Grinding_M1,62.79,462.56,23,Line_1,Day,195,0.96
PROD00159,2026-03-07 15:00:00,Plant_B,Contact Lens,183,Grinding_M1,72.87,482.0,31,Line_2,Night,498,0.89
PROD00160,2026-03-07 16:00:00,Plant_A,Prescription Lens,271,Grinding_M1,39.84,496.23,52,Line_1,Night,387,0.99
PROD00161,2026-03-07 17:00:00,Plant_A,Prescription Lens,480,Grinding_M1,44.04,296.76,55,Line_1,Day,241,0.93
PROD00162,2026-03-07 18:00:00,Plant_B,Prescription Lens,188,Coating_M2,55.03,242.68,8,Line_1,Day,485,0.85
PROD00163,2026-03-07 19:00:00,Plant_B,Sunglasses,445,Assembly_M3,56.6,390.0,19,Line_2,Day,244,0.76
PROD00164,2026-03-07 20:00:00,Plant_A,Contact Lens,264,Coating_M2,47.52,146.32,17,Line_1,Day,413,0.87
PROD00165,2026-03-07 21:00:00,Plant_B,Optical Frame,432,Coating_M2,22.06,168.46,15,Line_1,Day,322,0.93
PROD00166,2026-03-07 22:00:00,Plant_A,Contact Lens,328,Assembly_M3,27.54,339.62,51,Line_1,Night,376,0.82
PROD00167,2026-03-07 23:00:00,Plant_A,Optical Frame,287,Grinding_M1,28.38,109.35,10,Line_1,Night,407,0.93
PROD00168,2026-03-08 00:00:00,Plant_A,Reading Glasses,497,Assembly_M3,75.32,119.76,53,Line_1,Night,401,0.74
PROD00169,2026-03-08 01:00:00,Plant_B,Prescription Lens,313,Assembly_M3,44.31,107.9,26,Line_1,Day,423,0.81
PROD00170,2026-03-08 02:00:00,Plant_B,Optical Frame,100,Assembly_M3,56.97,484.11,22,Line_1,Night,472,0.99
PROD00171,2026-03-08 03:00:00,Plant_A,Contact Lens,319,Coating_M2,59.02,240.29,11,Line_2,Day,492,0.8
PROD00172,2026-03-08 04:00:00,Plant_A,Reading Glasses,169,Coating_M2,64.78,478.41,45,Line_2,Night,476,0.77
PROD00173,2026-03-08 05:00:00,Plant_A,Sunglasses,157,Assembly_M3,50.89,301.62,8,Line_1,Day,104,0.91
PROD00174,2026-03-08 06:00:00,Plant_B,Reading Glasses,200,Assembly_M3,33.27,309.43,16,Line_2,Day,243,0.88
PROD00175,2026-03-08 07:00:00,Plant_B,Reading Glasses,216,Assembly_M3,72.17,130.79,1,Line_2,Day,127,0.93
PROD00176,2026-03-08 08:00:00,Plant_A,Contact Lens,177,Assembly_M3,43.26,413.49,46,Line_1,Day,255,0.95
PROD00177,2026-03-08 09:00:00,Plant_B,Optical Frame,290,Grinding_M1,68.23,433.99,49,Line_1,Day,492,0.71
PROD00178,2026-03-08 10:00:00,Plant_B,Prescription Lens,211,Coating_M2,38.36,423.64,57,Line_1,Night,250,0.76
PROD00179,2026-03-08 11:00:00,Plant_A,Sunglasses,185,Coating_M2,73.09,192.59,13,Line_2,Night,169,0.77
PROD00180,2026-03-08 12:00:00,Plant_B,Prescription Lens,168,Coating_M2,23.45,214.72,34,Line_1,Night,250,0.91
PROD00181,2026-03-08 13:00:00,Plant_A,Reading Glasses,176,Coating_M2,57.34,425.88,31,Line_1,Night,448,0.72
PROD00182,2026-03-08 14:00:00,Plant_A,Sunglasses,321,Assembly_M3,36.52,360.34,16,Line_2,Night,157,0.85
PROD00183,2026-03-08 15:00:00,Plant_A,Optical Frame,172,Coating_M2,43.97,385.89,49,Line_2,Night,286,0.86
PROD00184,2026-03-08 16:00:00,Plant_B,Prescription Lens,441,Coating_M2,57.55,193.12,14,Line_2,Night,279,0.98
PROD00185,2026-03-08 17:00:00,Plant_B,Optical Frame,160,Assembly_M3,36.14,356.66,22,Line_1,Day,421,0.87
PROD00186,2026-03-08 18:00:00,Plant_A,Sunglasses,405,Coating_M2,45.35,238.57,18,Line_2,Day,314,0.72
PROD00187,2026-03-08 19:00:00,Plant_B,Optical Frame,296,Coating_M2,57.9,181.54,58,Line_1,Day,445,0.84
PROD00188,2026-03-08 20:00:00,Plant_A,Optical Frame,257,Coating_M2,46.17,195.27,23,Line_2,Night,406,0.74
PROD00189,2026-03-08 21:00:00,Plant_B,Sunglasses,259,Grinding_M1,52.51,157.43,21,Line_1,Night,185,0.87
PROD00190,2026-03-08 22:00:00,Plant_A,Reading Glasses,373,Assembly_M3,48.02,377.15,2,Line_1,Night,263,0.8
PROD00191,2026-03-08 23:00:00,Plant_A,Sunglasses,380,Assembly_M3,30.45,397.75,29,Line_1,Night,376,0.87
PROD00192,2026-03-09 00:00:00,Plant_A,Contact Lens,426,Assembly_M3,71.37,400.25,46,Line_1,Night,340,0.79
PROD00193,2026-03-09 01:00:00,Plant_B,Reading Glasses,447,Grinding_M1,30.57,253.0,2,Line_2,Night,299,0.95
PROD00194,2026-03-09 02:00:00,Plant_B,Reading Glasses,153,Grinding_M1,34.34,151.44,3,Line_2,Day,420,0.83
PROD00195,2026-03-09 03:00:00,Plant_A,Contact Lens,423,Grinding_M1,45.36,219.34,12,Line_1,Day,354,1.0
PROD00196,2026-03-09 04:00:00,Plant_A,Sunglasses,225,Grinding_M1,75.28,428.83,50,Line_2,Night,294,0.76
PROD00197,2026-03-09 05:00:00,Plant_A,Prescription Lens,172,Assembly_M3,54.29,308.22,28,Line_1,Night,239,0.78
PROD00198,2026-03-09 06:00:00,Plant_A,Reading Glasses,273,Assembly_M3,33.41,480.65,42,Line_1,Night,424,0.83
PROD00199,2026-03-09 07:00:00,Plant_B,Prescription Lens,281,Coating_M2,42.77,423.82,24,Line_1,Day,424,0.83
PROD00200,2026-03-09 08:00:00,Plant_B,Optical Frame,421,Grinding_M1,70.49,295.65,30,Line_1,Day,141,0.77
PROD00201,2026-03-09 09:00:00,Plant_B,Reading Glasses,345,Coating_M2,33.86,389.1,51,Line_2,Day,413,0.82
PROD00202,2026-03-09 10:00:00,Plant_B,Contact Lens,336,Grinding_M1,49.9,254.91,30,Line_2,Night,202,0.96
PROD00203,2026-03-09 11:00:00,Plant_B,Reading Glasses,472,Grinding_M1,44.05,208.61,52,Line_1,Day,138,0.84
PROD00204,2026-03-09 12:00:00,Plant_A,Reading Glasses,277,Coating_M2,61.42,486.99,20,Line_1,Night,408,0.75
PROD00205,2026-03-09 13:00:00,Plant_A,Contact Lens,442,Assembly_M3,27.86,127.84,9,Line_1,Night,159,0.84
PROD00206,2026-03-09 14:00:00,Plant_A,Reading Glasses,404,Coating_M2,73.67,144.0,17,Line_1,Night,398,0.99
PROD00207,2026-03-09 15:00:00,Plant_A,Optical Frame,208,Coating_M2,25.87,415.22,50,Line_2,Day,182,0.92
PROD00208,2026-03-09 16:00:00,Plant_B,Sunglasses,215,Coating_M2,36.51,338.93,48,Line_2,Night,302,0.95
PROD00209,2026-03-09 17:00:00,Plant_A,Contact Lens,178,Coating_M2,64.17,178.98,5,Line_1,Night,152,0.83
